Model,Fuel type ,Drive wheels - Traction - Drivetrain ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
AUDI,Petrol,AWD,335,331,15.9,3494,155,165.28,72.52,53.07
AUDI,Petrol,AWD,335,331,15.9,3549,155,165.28,72.52,53.07
AUDI,Petrol,AWD,268,258,15.9,3417,155,165.28,72.52,53.15
AUDI,Petrol,AWD,268,258,15.9,3373,155,165.28,72.52,53.15
AUDI,Petrol,AWD,355,342,15.9,3494,174,165.28,72.52,53.07
AUDI,Petrol,AWD,414,317,19.8,3605,187,174.45,74.96,49.29
AUDI,Petrol,AWD,414,317,19.8,3616,187,174.45,74.96,49.29
AUDI,Petrol,AWD,518,390,23.8,3737,196,174.61,75.98,49.29
AUDI,Petrol,AWD,518,390,23.8,3748,196,174.61,75.98,49.29
AUDI,Petrol,AWD,424,317,21.1,3825,186,174.61,74.96,48.98
AUDI,Petrol,AWD,424,317,21.1,3836,186,174.61,74.96,48.98
AUDI,Petrol,AWD,518,390,23.8,3957,195,174.57,74.96,48.98
AUDI,Petrol,AWD,518,390,23.8,3968,195,174.57,74.96,48.98
AUDI,Petrol,AWD,552,398,19.8,3527,199,174.57,75.98,48.9
AUDI,Petrol,AWD,552,398,19.8,3781,197,174.57,74.96,48.58
AUDI,Petrol,AWD,424,317,19.8,3605,188,174.45,74.96,49.29
AUDI,Petrol,AWD,424,317,19.8,3605,188,174.45,74.96,49.29
AUDI,Petrol,AWD,518,390,23.8,3737,196,174.61,75.98,49.29
AUDI,Petrol,AWD,518,390,23.8,3748,196,174.61,75.98,49.29
AUDI,Petrol,AWD,424,317,21.1,3825,186,174.61,74.96,48.98
AUDI,Petrol,AWD,424,317,21.1,3836,186,174.61,74.96,48.98
AUDI,Petrol,AWD,518,390,23.8,3957,195,174.57,74.96,48.98
AUDI,Petrol,AWD,518,390,23.8,3968,195,174.57,74.96,48.98
AUDI,Petrol,AWD,542,398,23.8,3627,198,174.8,75.94,49.29
